repository,url,age,releases,stars,loc,cbo,dit,lcom,visited
square/javapoet,https://github.com/square/javapoet,10,0,10101,7520,2.0,5.0,0.0,True
apache/dolphinscheduler,https://github.com/apache/dolphinscheduler,4,40,10057,99708,5.0,7.0,0.0,True
google/auto,https://github.com/google/auto,9,57,10042,30540,3.0,80.0,1.0,True
jhy/jsoup,https://github.com/jhy/jsoup,13,9,10022,29586,3.0,58.0,1.0,True
apereo/cas,https://github.com/apereo/cas,11,240,10009,191978,8.0,60.0,0.0,True
gyoogle/tech-interview-for-developer,https://github.com/gyoogle/tech-interview-for-developer,3,0,9936,609,1.0,1.0,0.0,True
macrozheng/mall-swarm,https://github.com/macrozheng/mall-swarm,3,2,9929,101018,3.0,4.0,13.0,True
clojure/clojure,https://github.com/clojure/clojure,12,0,9901,44087,0.0,48.0,0.0,True
amitshekhariitbhu/android-interview-questions,https://github.com/amitshekhariitbhu/android-interview-questions,5,0,9817,5,0.0,1.0,0.0,True
newbee-ltd/newbee-mall,https://github.com/newbee-ltd/newbee-mall,3,0,9789,3935,2.0,4.0,4.0,True
wasabeef/glide-transformations,https://github.com/wasabeef/glide-transformations,8,0,9747,991,5.0,3.0,0.0,True
YoKeyword/Fragmentation,https://github.com/YoKeyword/Fragmentation,7,30,9733,8981,3.0,5.0,0.0,True
HarlonWang/AVLoadingIndicatorView,https://github.com/HarlonWang/AVLoadingIndicatorView,7,1,9697,2161,2.0,4.0,0.0,True
googlesamples/easypermissions,https://github.com/googlesamples/easypermissions,7,12,9639,1705,8.0,3.0,6.0,True
liaohuqiu/android-Ultra-Pull-To-Refresh,https://github.com/liaohuqiu/android-Ultra-Pull-To-Refresh,8,8,9623,5476,2.0,5.0,0.0,True
yuliskov/SmartTubeNext,https://github.com/yuliskov/SmartTubeNext,2,122,9623,167739,5.0,49.0,1.0,True
TooTallNate/Java-WebSocket,https://github.com/TooTallNate/Java-WebSocket,13,14,9619,14502,2.0,7.0,3.5,True
react-native-camera/react-native-camera,https://github.com/react-native-camera/react-native-camera,7,144,9615,0,,,,True
ksoichiro/Android-ObservableScrollView,https://github.com/ksoichiro/Android-ObservableScrollView,8,0,9610,12621,3.0,7.0,0.0,True
paascloud/paascloud-master,https://github.com/paascloud/paascloud-master,4,0,9547,16332,4.0,5.0,0.0,True
perwendel/spark,https://github.com/perwendel/spark,11,0,9465,9588,3.0,5.0,0.0,True
umano/AndroidSlidingUpPanel,https://github.com/umano/AndroidSlidingUpPanel,9,8,9453,2011,2.0,4.0,0.0,True
pockethub/PocketHub,https://github.com/pockethub/PocketHub,11,1,9418,6980,5.0,4.0,0.0,True
bilibili/DanmakuFlameMaster,https://github.com/bilibili/DanmakuFlameMaster,9,5,9406,12879,3.0,14.0,1.0,True
MyCATApache/Mycat-Server,https://github.com/MyCATApache/Mycat-Server,8,7,9376,92943,3.0,12.0,0.0,True
hackware1993/MagicIndicator,https://github.com/hackware1993/MagicIndicator,6,12,9374,4533,4.0,4.0,3.0,True
doocs/jvm,https://github.com/doocs/jvm,4,0,9338,5,0.0,1.0,0.0,True
OpenRefine/OpenRefine,https://github.com/OpenRefine/OpenRefine,10,45,9331,66442,5.0,9.0,1.0,True
koral--/android-gif-drawable,https://github.com/koral--/android-gif-drawable,10,57,9312,2946,4.0,10.0,0.0,True
lzyzsd/JsBridge,https://github.com/lzyzsd/JsBridge,8,0,9266,995,1.5,2.0,0.0,True
Activiti/Activiti,https://github.com/Activiti/Activiti,10,210,9265,144028,4.0,8.0,1.0,True
lihengming/spring-boot-api-project-seed,https://github.com/lihengming/spring-boot-api-project-seed,5,4,9265,484,4.0,4.0,0.0,True
alibaba/COLA,https://github.com/alibaba/COLA,5,9,9207,5963,3.0,5.0,0.0,True
asLody/VirtualApp,https://github.com/asLody/VirtualApp,6,0,9171,46624,2.0,303.0,0.0,True
dataease/dataease,https://github.com/dataease/dataease,2,49,9136,47775,3.0,4.0,0.0,True
cryptomator/cryptomator,https://github.com/cryptomator/cryptomator,9,146,9065,13681,6.0,6.0,1.0,True
navasmdc/MaterialDesignLibrary,https://github.com/navasmdc/MaterialDesignLibrary,8,3,9054,2927,3.0,6.0,0.0,True
LSPosed/LSPosed,https://github.com/LSPosed/LSPosed,2,36,8993,22943,3.0,16.0,0.0,True
barry-ran/QtScrcpy,https://github.com/barry-ran/QtScrcpy,3,28,8955,3988,2.0,4.0,0.0,True
metersphere/metersphere,https://github.com/metersphere/metersphere,3,181,8928,264133,3.0,5.0,0.0,True
jwtk/jjwt,https://github.com/jwtk/jjwt,8,0,8907,5254,3.0,8.0,1.0,True
nathanmarz/storm,https://github.com/nathanmarz/storm,11,0,8884,60552,3.0,20.0,1.0,True
stanfordnlp/CoreNLP,https://github.com/stanfordnlp/CoreNLP,9,12,8881,561917,3.0,46.0,0.0,True
GcsSloop/AndroidNote,https://github.com/GcsSloop/AndroidNote,7,0,8846,402,1.0,2.0,3.0,True
didi/VirtualAPK,https://github.com/didi/VirtualAPK,5,4,8820,7981,3.0,17.0,1.0,True
laobie/StatusBarUtil,https://github.com/laobie/StatusBarUtil,7,0,8810,1036,3.0,3.0,0.0,True
Justson/AgentWeb,https://github.com/Justson/AgentWeb,5,19,8801,11378,3.0,9.0,0.0,True
android/testing-samples,https://github.com/android/testing-samples,8,0,8767,1809,6.0,3.0,0.0,True
crossoverJie/cim,https://github.com/crossoverJie/cim,4,7,8759,7280,3.0,7.0,0.0,True
chrisbanes/Android-PullToRefresh,https://github.com/chrisbanes/Android-PullToRefresh,11,0,8748,3567,4.5,7.0,1.0,True
krahets/hello-algo,https://github.com/krahets/hello-algo,0,1,8693,2219,2.0,1.0,0.0,True
OpenFeign/feign,https://github.com/OpenFeign/feign,9,28,8665,30656,3.0,92.0,0.0,True
resilience4j/resilience4j,https://github.com/resilience4j/resilience4j,7,32,8631,52469,5.0,15.0,1.0,True
cats-oss/android-gpuimage,https://github.com/cats-oss/android-gpuimage,10,0,8624,6341,2.0,7.0,0.0,True
