repository,url,age,releases,stars,loc,cbo,dit,lcom,visited
amulyakhare/TextDrawable,https://github.com/amulyakhare/TextDrawable,8,0,3174,824,3.0,3.0,0.0,True
facebookarchive/network-connection-class,https://github.com/facebookarchive/network-connection-class,7,2,3170,650,2.5,3.0,0.0,True
yangfuhai/afinal,https://github.com/yangfuhai/afinal,10,0,3168,6971,2.0,5.0,0.0,True
zzz40500/GsonFormat,https://github.com/zzz40500/GsonFormat,8,4,3165,5684,1.0,7.0,0.0,True
jtablesaw/tablesaw,https://github.com/jtablesaw/tablesaw,7,79,3165,47810,4.0,6.0,1.0,True
guoguibing/librec,https://github.com/guoguibing/librec,9,3,3158,30216,6.0,8.0,1.0,True
Skykai521/StickerCamera,https://github.com/Skykai521/StickerCamera,7,0,3158,14361,2.0,29.0,0.0,True
phodal/migration,https://github.com/phodal/migration,3,0,3157,101,1.0,1.0,0.0,True
nicolasgramlich/AndEngine,https://github.com/nicolasgramlich/AndEngine,11,0,3155,33585,3.0,7.0,1.0,True
android-notes/Cockroach,https://github.com/android-notes/Cockroach,6,1,3153,1562,3.0,2.0,0.0,True
bitcoin-wallet/bitcoin-wallet,https://github.com/bitcoin-wallet/bitcoin-wallet,10,18,3153,18207,4.0,8.0,0.0,True
Sayi/poi-tl,https://github.com/Sayi/poi-tl,7,13,3141,22340,4.0,4.0,0.0,True
allure-framework/allure2,https://github.com/allure-framework/allure2,6,56,3140,7303,4.0,5.0,1.0,True
crazyandcoder/citypicker,https://github.com/crazyandcoder/citypicker,6,4,3135,6571,2.0,3.0,0.0,True
danylovolokh/VideoPlayerManager,https://github.com/danylovolokh/VideoPlayerManager,7,0,3135,4228,3.0,4.0,0.0,True
gouthampradhan/leetcode,https://github.com/gouthampradhan/leetcode,6,0,3134,19926,2.0,1.0,1.0,True
tonikelope/megabasterd,https://github.com/tonikelope/megabasterd,6,178,3133,19924,1.0,6.0,0.0,True
airbnb/native-navigation,https://github.com/airbnb/native-navigation,6,0,3132,4473,3.0,5.0,0.0,True
logisim-evolution/logisim-evolution,https://github.com/logisim-evolution/logisim-evolution,8,29,3132,152464,4.0,30.0,1.0,True
shuzijun/leetcode-editor,https://github.com/shuzijun/leetcode-editor,3,41,3131,13208,4.0,9.0,0.0,True
sofastack/sofa-jraft,https://github.com/sofastack/sofa-jraft,4,25,3131,145382,3.0,18.0,1.0,True
hitherejoe/animate,https://github.com/hitherejoe/animate,7,0,3129,1706,6.0,4.0,1.0,True
hongyangAndroid/Highlight,https://github.com/hongyangAndroid/Highlight,7,0,3126,964,2.0,2.0,0.0,True
java8/Java8InAction,https://github.com/java8/Java8InAction,9,0,3120,3724,1.0,3.0,0.0,True
requery/requery,https://github.com/requery/requery,7,43,3116,23679,3.0,8.0,0.0,True
yipianfengye/android-adDialog,https://github.com/yipianfengye/android-adDialog,6,0,3114,1607,2.5,3.0,0.0,True
dunwu/db-tutorial,https://github.com/dunwu/db-tutorial,5,0,3112,6973,4.0,4.0,0.0,True
amitshekhariitbhu/PRDownloader,https://github.com/amitshekhariitbhu/PRDownloader,5,5,3104,4709,1.0,3.0,0.0,True
zhpanvip/BannerViewPager,https://github.com/zhpanvip/BannerViewPager,5,55,3097,3132,3.0,4.0,0.0,True
apache/iotdb,https://github.com/apache/iotdb,4,28,3091,403299,5.0,41.0,1.0,True
Mojang/brigadier,https://github.com/Mojang/brigadier,8,3,3090,4012,5.0,3.0,0.0,True
mplushnikov/lombok-intellij-plugin,https://github.com/mplushnikov/lombok-intellij-plugin,9,116,3072,46522,2.0,8.0,0.0,True
spring-io/initializr,https://github.com/spring-io/initializr,9,13,3070,27667,4.0,5.0,1.0,True
geoserver/geoserver,https://github.com/geoserver/geoserver,11,26,3069,634668,5.0,68.0,1.0,True
zaaach/CityPicker,https://github.com/zaaach/CityPicker,7,2,3065,1295,2.0,8.0,0.0,True
zhou-you/RxEasyHttp,https://github.com/zhou-you/RxEasyHttp,5,0,3062,11670,3.0,4.0,0.0,True
gabrielemariotti/RecyclerViewItemAnimators,https://github.com/gabrielemariotti/RecyclerViewItemAnimators,8,0,3059,2088,3.0,3.0,1.0,True
Marswin/MarsDaemon,https://github.com/Marswin/MarsDaemon,7,0,3059,1010,2.0,3.0,0.0,True
Dimezis/BlurView,https://github.com/Dimezis/BlurView,6,26,3057,708,2.5,3.0,2.0,True
pingfangushi/screw,https://github.com/pingfangushi/screw,2,0,3056,3933,3.0,5.0,0.0,True
eclipse-openj9/openj9,https://github.com/eclipse-openj9/openj9,5,36,3056,623594,2.0,48.0,0.0,True
mxdldev/android-mvp-mvvm-flytour,https://github.com/mxdldev/android-mvp-mvvm-flytour,4,11,3056,21364,1.0,5.0,0.0,True
deepjavalibrary/djl,https://github.com/deepjavalibrary/djl,3,22,3054,76038,5.0,7.0,3.0,True
florent37/ShapeOfView,https://github.com/florent37/ShapeOfView,5,0,3050,2078,3.0,4.0,1.0,True
sofastack/sofa-jarslink,https://github.com/sofastack/sofa-jarslink,5,2,3049,948,3.0,2.0,0.0,True
evrencoskun/TableView,https://github.com/evrencoskun/TableView,5,12,3043,5170,4.0,8.0,1.0,True
zwwill/yanxuan-weex-demo,https://github.com/zwwill/yanxuan-weex-demo,5,0,3041,15894,0.0,4.0,0.0,True
